iso1,iso2,group,community
-22.68507,12.11642,1,6
-20.85943,12.66339,1,6
-21.52555,11.18053,1,6
-20.1112,12.92458,1,6
-21.02601,11.76242,1,6
-21.16246,11.70117,1,6
-22.41304,11.16953,1,6
-20.12521,12.1126,1,6
-20.75969,12.00641,1,6
-19.85253,12.65049,1,6
-19.98101,12.53706,1,6
-23.18931,10.54137,1,6
-21.08858,12.20592,1,6
-19.693,12.06358,1,6
-20.81512,12.41945,1,6
-20.88794,12.19528,1,6
-20.61185,11.45108,1,6
-20.66916,11.81706,1,6
-20.3757,11.38775,1,6
-19.77436,11.75463,1,6
-20.68436,13.28734,1,6
-20.87406,12.47404,1,6
-20.21099,11.80513,1,6
-19.83962,12.36367,1,6
-23.5225,11.63036,1,6
-19.36198,12.43097,1,6
-19.24515,12.44937,1,6
-23.98185,11.14947,1,6
-20.31894,12.05167,1,6
-19.44942,11.98781,1,6
-19.64222,11.54458,1,6
-19.95575,12.61573,1,6
-19.43714,12.17791,1,6
-19.00976,12.17354,1,6
-19.60508,11.96878,1,6
-19.04051,11.53476,1,6
-23.79814,10.41567,2,6
-20.32647,12.14163,2,6
-20.17172,11.5243,2,6
-22.29583,12.05879,2,6
-20.99584,11.91929,2,6
-22.0563,12.41485,2,6
-20.58712,11.71685,2,6
-20.42688,12.11323,2,6
-21.88721,11.55468,2,6
-20.40576,12.09202,2,6
-20.65707,12.28252,2,6
-21.6263,12.44405,2,6
-23.58216,10.57505,2,6
-22.55815,13.57808,2,6
-22.18827,12.46946,2,6
-18.93772,12.37604,2,6
-22.77546,11.76789,2,6
-22.31388,11.28142,2,6
-23.33343,10.97327,2,6
-22.64174,11.0416,2,6
-21.94726,11.65002,2,6
-22.7274,11.77911,2,6
-22.25225,11.90545,2,6
-21.72348,11.56883,2,6
-19.36323,12.24448,2,6
-21.20473,11.74387,2,6
-23.52172,11.67734,2,6
-22.79388,11.99924,2,6
-23.86684,10.78513,2,6
-22.93448,12.26365,2,6
-21.87648,12.09033,2,6
-21.15829,12.1743,2,6
-23.13597,11.27543,2,6
-22.55859,11.63017,2,6
-20.83029,12.04586,2,6
-20.25017,12.18378,2,6
-23.08204,11.49868,2,6
-22.31879,11.32866,2,6
-23.60641,10.72834,2,6
-19.28349,12.60445,2,6
-22.27704,11.72273,2,6
-21.78647,12.48312,2,6
-19.98615,12.19053,2,6
-19.56787,12.03056,2,6
-20.59389,12.25639,2,6
-19.80681,12.82492,2,6
-19.12565,12.59714,2,6
-20.28809,12.26915,2,6
-20.51624,12.00952,2,6
-21.71609,11.64677,2,6
-20.27469,11.97524,2,6
-22.44025,11.37851,2,6
-21.48604,11.53909,2,6
-20.68631,11.14353,2,6
-25.34566,11.25524,2,6
-19.49843,12.31588,2,6
-23.06208,12.35101,1,7
-22.48184,12.49636,1,7
-23.47745,13.25309,1,7
-21.39577,12.98798,1,7
-22.51452,12.17074,1,7
-24.01326,12.27111,1,7
-24.21894,12.25081,1,7
-20.11003,10.76427,1,7
-21.819,13.39153,1,7
-22.25244,11.78979,1,7
-22.7902662,11.96054,1,7
-22.07309,13.2786,1,7
-22.5738,13.72576,1,7
-21.371,13.22892,1,7
-22.4014207,12.9092,1,7
-21.44123,12.77192,1,7
-22.09819,13.31921,1,7
-21.12865,13.5948,1,7
-20.98937,13.14436,1,7
-23.5053803,12.40192,1,7
-22.06081,13.21029,1,7
-22.97906,12.38924,1,7
-21.1185221,12.40049,1,7
-23.18223,13.64603,1,7
-23.05266,11.48022,2,7
-25.31241,11.29287,2,7
-22.9872077,11.95582,2,7
-22.91709,11.92823,2,7
-23.3139958,11.55652,2,7
-22.7301414,12.19596,2,7
