Sort_ID,Sample_ID,Sample_Month,Reach,Sample_No,MixSIAR,Group,Taxon,FL_mm,PIT_tag,Sample_Mass_microg,microg_C,percent_C,microg_N,percent_N,d15N,C_N_ratio,Sample_Notes,d13C_corr_v1,d13C_corr_v2,FINAL d13C,d13C_diff
58,84,6,3,108145,Mixture,Fish,Onki,118,900226000647100,709,184.39147,26.00726,54.61494,7.70309,10.54137,3.37621,double tinned,-23.18931,NA,-23.18931,
85,66,6,3,108127,Mixture,Fish,Onki,132,900226000686598,694,186.17168,26.82589,57.71447,8.31621,11.54458,3.22574,large,-19.64222,NA,-19.64222,
50,34,6,2,108095,Mixture,Fish,Onki,136,900226000692323,690,214.01268,31.01633,62.99646,9.12992,11.16953,3.39722,large,-22.41304,NA,-22.41304,
60,69,6,3,108130,Mixture,Fish,Onki,137,900226000683814,686,207.09534,30.18882,61.58376,8.97722,12.06358,3.36282,large,-19.693,NA,-19.693,
77,70,6,3,108131,Mixture,Fish,Onki,137,900226000684883,720,205.81824,28.58587,62.88389,8.73387,12.43097,3.27299,large,-19.36198,NA,-19.36198,
81,56,6,3,108117,Mixture,Fish,Onki,137,900226000534766,716,199.53978,27.86868,61.29114,8.56021,11.14947,3.25561,large,-23.98185,NA,-23.98185,
86,8,6,2,108069,Mixture,Fish,Onki,137,900226000686771,697,203.82483,29.24316,63.24972,9.07457,12.61573,3.22254,large,-19.95575,NA,-19.95575,
44,3,6,1,108064,Mixture,Fish,Onki,138,900226000647418,715,216.49059,30.2784,63.46078,8.87563,11.70117,3.41141,large,-21.16246,NA,-21.16246,
59,29,6,2,108090,Mixture,Fish,Onki,139,900226000684665,713,230.5847,32.34007,68.45855,9.60148,12.20592,3.36824,large,-21.08858,NA,-21.08858,
68,15,6,2,108076,Mixture,Fish,Onki,139,900226000648671,682,197.60638,28.97454,59.31567,8.69731,11.81706,3.33144,large,-20.66916,NA,-20.66916,
51,71,6,3,108132,Mixture,Fish,Onki,140,900226000683209,729,214.35416,29.40386,63.14916,8.66244,12.1126,3.39441,large,-20.12521,NA,-20.12521,
76,62,6,3,108123,Mixture,Fish,Onki,140,900226000687645,719,229.8508,31.96812,69.87684,9.71861,11.63036,3.28937,large,-23.5225,NA,-23.5225,
74,32,6,2,108093,Mixture,Fish,Onki,141,900226000689492,697,196.55682,28.2004,59.32692,8.51175,11.80513,3.31311,large,-20.21099,NA,-20.21099,
42,24,6,2,108085,Mixture,Fish,Onki,142,900226000690894,692,247.18829,35.72085,72.23502,10.43859,12.92458,3.422,large,-20.1112,NA,-20.1112,
71,4,6,1,108065,Mixture,Fish,Onki,142,900226000689757,689,205.30842,29.79803,61.7836,8.96714,13.28734,3.32302,large,-20.68436,NA,-20.68436,
19,2,6,1,108063,Mixture,Fish,Onki,143,900226000689727,715,254.84299,35.64238,71.95924,10.06423,12.11642,3.54149,large,-22.87115,0.186075683,-22.68507,
88,31,6,2,108092,Mixture,Fish,Onki,143,900226000688767,720,209.93281,29.15733,65.39685,9.0829,12.17791,3.21014,large,-19.43714,NA,-19.43714,
69,13,6,2,108074,Mixture,Fish,Onki,144,900226000690630,709,187.98672,26.51435,56.45658,7.96285,11.38775,3.32976,large,-20.3757,NA,-20.3757,
83,67,6,3,108128,Mixture,Fish,Onki,144,900226000720367,797,220.42053,27.65628,67.83383,8.51115,12.05167,3.24942,large,-20.31894,NA,-20.31894,
84,26,6,2,108087,Mixture,Fish,Onki,144,900226000689083,693,173.74267,25.07109,53.54684,7.72682,11.98781,3.24469,large,-19.44942,NA,-19.44942,
90,68,6,3,108129,Mixture,Fish,Onki,144,900226000684959,714,185.39043,25.96505,57.98461,8.12109,12.17354,3.19723,large,-19.00976,NA,-19.00976,
41,54,6,3,108115,Mixture,Fish,Onki,145,900226000645307,700,243.25046,34.75007,70.73794,10.10542,11.18053,3.43876,large,-21.52555,NA,-21.52555,
91,57,6,3,108118,Mixture,Fish,Onki,148,900226000688982,710,203.61966,28.67882,63.73656,8.97698,11.96878,3.19471,large,-19.60508,NA,-19.60508,
52,19,6,2,108080,Mixture,Fish,Onki,149,900226000645097,709,227.35711,32.06729,67.02901,9.45402,12.00641,3.39192,large,-20.75969,NA,-20.75969,
67,58,6,3,108119,Mixture,Fish,Onki,150,900226000681245,689,201.93089,29.30782,60.5229,8.78417,11.45108,3.33644,large,-20.61185,NA,-20.61185,
73,20,6,2,108081,Mixture,Fish,Onki,151,900226000648565,712,227.07301,31.89228,68.38539,9.60469,12.47404,3.32049,large,-20.87406,NA,-20.87406,
55,45,6,3,108106,Mixture,Fish,Onki,152,900226000690304,708,249.67409,35.2647,73.7912,10.42249,12.65049,3.38352,large,-19.85253,NA,-19.85253,
75,16,6,2,108077,Mixture,Fish,Onki,153,900226000534752,712,215.67778,30.29182,65.30117,9.17151,12.36367,3.30282,large,-19.83962,NA,-19.83962,
92,35,6,3,108096,Mixture,Fish,Onki,153,900226000689088,702,212.3397,30.24782,68.17996,9.71224,11.53476,3.1144,large,-19.04051,NA,-19.04051,
43,72,6,3,108133,Mixture,Fish,Onki,154,900226000682611,643,218.96269,34.0533,64.16327,9.97874,11.76242,3.41259,large,-21.02601,NA,-21.02601,
56,11,6,2,108072,Mixture,Fish,Onki,154,900226000648982,701,221.8331,31.64524,65.59665,9.35758,12.53706,3.38177,large,-19.98101,NA,-19.98101,
61,10,6,2,108071,Mixture,Fish,Onki,154,900226000646421,720,233.37827,32.41365,69.45192,9.6461,12.41945,3.36029,large,-20.81512,NA,-20.81512,
37,73,6,3,108134,Mixture,Fish,Onki,155,900226000682740,609,207.84149,34.12832,60.08078,9.86548,12.66339,3.45937,large,-20.85943,NA,-20.85943,
66,52,6,3,108113,Mixture,Fish,Onki,156,900226000685619,691,233.52821,33.79569,69.83463,10.10631,12.19528,3.34402,large,-20.88794,NA,-20.88794,
70,6,6,1,108067,Mixture,Fish,Onki,156,900226000534827,696,191.89298,27.57083,57.661,8.28463,11.75463,3.32795,large,-19.77436,NA,-19.77436,
79,18,6,2,108079,Mixture,Fish,Onki,156,900226000534860,720,204.19573,28.36052,62.57716,8.69127,12.44937,3.2631,large,-19.24515,NA,-19.24515,
35,42,6,3,108103,Mixture,Fish,Onmy,113,900226000534851,708,271.10724,38.29198,78.30214,11.05962,11.63017,3.46232,large,-22.55859,NA,-22.55859,
78,65,6,3,108126,Mixture,Fish,Onmy,117,900226000687685,705,210.51677,29.86054,64.4457,9.14123,11.37851,3.26658,large,-22.44025,NA,-22.44025,
29,46,6,3,108107,Mixture,Fish,Onmy,122,900226000688756,702,225.67623,32.14761,64.49354,9.18711,11.99924,3.49921,large,-22.79388,NA,-22.79388,
34,59,6,3,108120,Mixture,Fish,Onmy,129,900226000688914,691,220.39686,31.89535,63.62962,9.20834,11.27543,3.46375,large,-23.13597,NA,-23.13597,
28,95,6,4,108156,Mixture,Fish,Onmy,131,900226000687587,622,204.94471,32.94931,58.5571,9.41433,11.67734,3.49991,large,-23.52172,NA,-23.52172,
47,38,6,3,108099,Mixture,Fish,Onmy,132,900226000534994,720,238.35845,33.10534,70.03572,9.72718,11.72273,3.40338,double tinned,-22.27704,NA,-22.27704,
12,85,6,4,108146,Mixture,Fish,Onmy,134,900226000687513,617,237.97904,38.57035,63.12351,10.23072,12.44405,3.77005,large,-22.03865,0.412353162,-21.6263,
14,92,6,4,108153,Mixture,Fish,Onmy,134,900226000687561,725,250.69697,34.57889,69.70329,9.61425,13.57808,3.59663,large,-22.79882,0.240663862,-22.55815,
15,74,6,3,108135,Mixture,Fish,Onmy,134,900226000645058,601,193.76691,32.24075,53.93685,8.97452,12.46946,3.59248,large,-22.42482,0.236552192,-22.18827,
40,40,6,3,108101,Mixture,Fish,Onmy,136,900226000688910,682,210.45885,30.85907,61.01479,8.94645,11.32866,3.44931,double tinned,-22.31879,NA,-22.31879,
20,50,6,3,108111,Mixture,Fish,Onmy,137,900226000688884,719,227.76746,31.67837,64.54138,8.97655,10.97327,3.52901,large,-23.50716,0.173724356,-23.33343,
25,64,6,3,108125,Mixture,Fish,Onmy,137,900226000688813,707,229.18792,32.41696,65.1464,9.21448,11.56883,3.51804,large,-21.88634,0.162863742,-21.72348,
1,88,6,4,108149,Mixture,Fish,Onmy,139,900226000688773,741,267.34073,36.07837,60.81656,8.20736,10.41567,4.39585,large,-24.83004,1.031895605,-23.79814,
13,86,6,4,108147,Mixture,Fish,Onmy,140,900226000646451,742,254.0923,34.24425,69.57216,9.3763,10.57505,3.65221,large,-23.87785,0.295690259,-23.58216,
39,41,6,3,108102,Mixture,Fish,Onmy,140,900226000688819,699,250.1318,35.78423,72.40668,10.35861,11.49868,3.45454,large,-23.08204,NA,-23.08204,
48,37,6,3,108098,Mixture,Fish,Onmy,141,900226000534992,710,225.22642,31.72203,66.21856,9.32656,12.48312,3.40126,large,-21.78647,NA,-21.78647,
45,61,6,3,108122,Mixture,Fish,Onmy,142,900226000688807,708,233.14153,32.92959,68.38539,9.65895,10.72834,3.40923,large,-23.60641,NA,-23.60641,
5,91,6,4,108152,Mixture,Fish,Onmy,144,900226000687739,511,202.1021,39.55031,48.4319,9.47787,11.91929,4.17291,small,-21.80702,0.811183776,-20.99584,
80,43,6,3,108104,Mixture,Fish,Onmy,144,900226000688940,722,227.86216,31.55986,69.86277,9.67628,11.53909,3.26157,large,-21.48604,NA,-21.48604,
3,80,6,3,108141,Mixture,Fish,Onmy,145,900226000687627,748,315.54556,42.18524,72.28036,9.66315,11.5243,4.36558,large,-21.17364,1.00192238,-20.17172,
23,63,6,3,108124,Mixture,Fish,Onmy,148,900226000687708,696,233.06262,33.48601,66.14821,9.50405,11.77911,3.52334,large,-22.89551,0.168106455,-22.7274,
11,89,6,4,108150,Mixture,Fish,Onmy,150,900226000688962,693,247.71482,35.74528,62.86813,9.07188,12.28252,3.94023,large,-21.2379,0.580826732,-20.65707,
65,49,6,3,108110,Mixture,Fish,Onmy,151,900226000688904,715,231.77631,32.41627,69.27463,9.68876,11.64677,3.34576,large,-21.71609,NA,-21.71609,
